userId,movieId,rating,timestamp
68,1,2.5,1158531426
68,2,2.5,1158532776
68,16,3.5,1158533018
68,47,4.0,1158531489
68,50,3.0,1158531764
68,104,4.5,1158532958
68,110,2.5,1158531496
68,153,3.0,1158531596
68,223,1.0,1158531005
68,231,3.5,1158532011
68,260,5.0,1158531191
68,293,4.0,1158532453
68,296,2.0,1180916156
68,318,3.0,1158531293
68,344,2.5,1158531367
68,356,3.5,1158531181
68,364,4.5,1158531894
68,367,3.0,1158531592
68,377,5.0,1158531516
68,380,3.5,1158531354
68,457,4.5,1158531542
68,480,3.5,1158531200
68,500,3.0,1158531950
68,527,4.0,1305861414
68,541,2.0,1158532190
68,589,3.5,1158531164
68,592,4.0,1158531159
68,593,3.5,1158531247
68,595,4.5,1158531532
68,608,2.5,1158531452
68,648,4.0,1158531681
68,780,4.0,1158531402
68,858,4.0,1268848984
68,912,4.5,1158531003
68,919,3.0,1158531038
68,923,3.0,1252728105
68,924,1.5,1158532482
68,1028,2.5,1158533303
68,1036,3.0,1158531885
68,1073,0.5,1158531588
68,1089,3.5,1158532755
68,1097,1.5,1158531418
68,1101,3.5,1158533140
68,1136,3.5,1158532161
68,1193,3.0,1240092977
68,1196,5.0,1158531361
68,1197,5.0,1158531521
68,1198,5.0,1158531882
68,1200,2.5,1158531997
68,1201,3.5,1230497900
68,1206,3.0,1252727946
68,1208,3.0,1158532363
68,1210,5.0,1158531261
68,1213,3.5,1240093011
68,1214,2.0,1158531713
68,1219,4.5,1158532359
68,1220,3.0,1158532296
68,1221,3.0,1158531015
68,1222,2.5,1158532539
68,1240,4.0,1158531602
68,1258,3.5,1158532317
68,1265,2.5,1158531759
68,1270,3.0,1271544201
68,1291,5.0,1158531732
68,1380,3.5,1158532790
68,1387,3.5,1158532008
68,1517,4.0,1158531790
68,1527,3.0,1158531651
68,1544,2.0,1158532643
68,1552,3.5,1158533074
68,1580,4.0,1158531346
68,1653,2.5,1158532274
68,1676,2.0,1158532501
68,1682,4.5,1158531979
68,1704,4.5,1158531769
68,1721,3.0,1158531226
68,1732,0.5,1158532491
68,1923,4.0,1158531081
68,1954,3.5,1230497753
68,1968,3.0,1158531622
68,2000,3.5,1208743277
68,2005,3.0,1158534461
68,2011,1.0,1158531956
68,2012,1.0,1158531786
68,2028,4.0,1158531283
68,2081,5.0,1158532733
68,2115,4.0,1271544860
68,2174,2.5,1158531910
68,2291,3.0,1158531948
68,2329,2.5,1158532441
68,2355,3.0,1158531701
68,2470,3.5,1158532880
68,2502,5.0,1158532149
68,2571,4.5,1158531187
68,2617,4.0,1158532098
68,2628,3.0,1158531291
68,2683,3.5,1158531052
68,2706,4.0,1268849086
68,2716,2.0,1158531017
68,2717,2.0,1158535072
68,2762,2.5,1158531219
